product_id,dataset_id,start_date,end_date
GLOBAL_ANALYSISFORECAST_BGC_001_028,cmems_mod_glo_bgc-bio_anfc_0.25deg_P1D-m,2022-01-01,NA
GLOBAL_ANALYSISFORECAST_BGC_001_028,cmems_mod_glo_bgc-bio_anfc_0.25deg_P1M-m,2021-10-01,NA
GLOBAL_ANALYSISFORECAST_BGC_001_028,cmems_mod_glo_bgc-car_anfc_0.25deg_P1D-m,2022-01-01,NA
GLOBAL_ANALYSISFORECAST_BGC_001_028,cmems_mod_glo_bgc-car_anfc_0.25deg_P1M-m,2021-10-01,NA
GLOBAL_ANALYSISFORECAST_BGC_001_028,cmems_mod_glo_bgc-co2_anfc_0.25deg_P1D-m,2022-01-01,NA
GLOBAL_ANALYSISFORECAST_BGC_001_028,cmems_mod_glo_bgc-co2_anfc_0.25deg_P1M-m,2021-10-01,NA
GLOBAL_ANALYSISFORECAST_BGC_001_028,cmems_mod_glo_bgc-nut_anfc_0.25deg_P1D-m,2022-01-01,NA
GLOBAL_ANALYSISFORECAST_BGC_001_028,cmems_mod_glo_bgc-nut_anfc_0.25deg_P1M-m,2021-10-01,NA
GLOBAL_ANALYSISFORECAST_BGC_001_028,cmems_mod_glo_bgc-optics_anfc_0.25deg_P1D-m,2022-01-01,NA
GLOBAL_ANALYSISFORECAST_BGC_001_028,cmems_mod_glo_bgc-optics_anfc_0.25deg_P1M-m,2021-10-01,NA
GLOBAL_ANALYSISFORECAST_BGC_001_028,cmems_mod_glo_bgc-pft_anfc_0.25deg_P1D-m,2022-01-01,NA
GLOBAL_ANALYSISFORECAST_BGC_001_028,cmems_mod_glo_bgc-pft_anfc_0.25deg_P1M-m,2021-10-01,NA
GLOBAL_ANALYSISFORECAST_BGC_001_028,cmems_mod_glo_bgc-plankton_anfc_0.25deg_P1D-m,2022-01-01,NA
GLOBAL_ANALYSISFORECAST_BGC_001_028,cmems_mod_glo_bgc-plankton_anfc_0.25deg_P1M-m,2021-10-01,NA
GLOBAL_ANALYSISFORECAST_BGC_001_028,cmems_mod_glo_bgc_anfc_0.25deg_static,NA,NA
GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-cur_anfc_0.083deg_P1D-m,2022-06-15,NA
GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,2022-06-15,NA
GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,2022-06-15,NA
GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-wcur_anfc_0.083deg_P1D-m,2022-06-15,NA
GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy_anfc_0.083deg-sst-anomaly_P1D-m,2022-06-15,NA
GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy_anfc_0.083deg_P1D-m,2022-06-15,NA
GLOBAL_MULTIYEAR_BGC_001_029,cmems_mod_glo_bgc_my_0.25deg_P1D-m,1993-01-01,2022-12-31
GLOBAL_MULTIYEAR_BGC_001_029,cmems_mod_glo_bgc_my_0.25deg_P1M-m,1993-01-01,2022-12-01
GLOBAL_MULTIYEAR_BGC_001_029,cmems_mod_glo_bgc_my_0.25deg_static,NA,NA
GLOBAL_MULTIYEAR_BGC_001_029,cmems_mod_glo_bgc_myint_0.25deg_P1D-m,2023-01-01,2025-01-31
GLOBAL_MULTIYEAR_BGC_001_029,cmems_mod_glo_bgc_myint_0.25deg_P1M-m,2023-01-01,2025-01-01
GLOBAL_MULTIYEAR_PHY_001_030,cmems_mod_glo_phy_my_0.083deg-climatology_P1M-m,NA,NA
GLOBAL_MULTIYEAR_PHY_001_030,cmems_mod_glo_phy_my_0.083deg_P1D-m,1993-01-01,2021-06-30
GLOBAL_MULTIYEAR_PHY_001_030,cmems_mod_glo_phy_my_0.083deg_P1M-m,1993-01-01,2021-06-01
GLOBAL_MULTIYEAR_PHY_001_030,cmems_mod_glo_phy_my_0.083deg_static,NA,NA
