product_id,title,dataset_id,dataset_name,short_name,standard_name,units,depth,fetch,mindepth,maxdepth
GLOBAL_ANALYSISFORECAST_BGC_001_028,Global Ocean Biogeochemistry Analysis and Forecast,cmems_mod_glo_bgc-bio_anfc_0.25deg_P1D-m,daily mean fields from Global Ocean Biogeochemistry Analysis and Forecast,nppv,net_primary_production_of_biomass_expressed_as_carbon_per_unit_volume_in_sea_water,mg m-3 day-1,sur,yes,0,1
GLOBAL_ANALYSISFORECAST_BGC_001_028,Global Ocean Biogeochemistry Analysis and Forecast,cmems_mod_glo_bgc-bio_anfc_0.25deg_P1D-m,daily mean fields from Global Ocean Biogeochemistry Analysis and Forecast,o2,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,mmol m-3,sur,yes,0,1
GLOBAL_ANALYSISFORECAST_BGC_001_028,Global Ocean Biogeochemistry Analysis and Forecast,cmems_mod_glo_bgc-bio_anfc_0.25deg_P1M-m,Monthly mean fields for product GLOBAL_ANALYSIS_FORECAST_BIO_001_028,nppv,net_primary_production_of_biomass_expressed_as_carbon_per_unit_volume_in_sea_water,mg m-3 day-1,sur,no,0,1
GLOBAL_ANALYSISFORECAST_BGC_001_028,Global Ocean Biogeochemistry Analysis and Forecast,cmems_mod_glo_bgc-bio_anfc_0.25deg_P1M-m,Monthly mean fields for product GLOBAL_ANALYSIS_FORECAST_BIO_001_028,o2,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,mmol m-3,sur,no,0,1
GLOBAL_ANALYSISFORECAST_BGC_001_028,Global Ocean Biogeochemistry Analysis and Forecast,cmems_mod_glo_bgc-car_anfc_0.25deg_P1D-m,daily mean fields from Global Ocean Biogeochemistry Analysis and Forecast,dissic,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,mol m-3,sur,no,0,1
GLOBAL_ANALYSISFORECAST_BGC_001_028,Global Ocean Biogeochemistry Analysis and Forecast,cmems_mod_glo_bgc-car_anfc_0.25deg_P1D-m,daily mean fields from Global Ocean Biogeochemistry Analysis and Forecast,ph,sea_water_ph_reported_on_total_scale,1,sur,no,0,1
GLOBAL_ANALYSISFORECAST_BGC_001_028,Global Ocean Biogeochemistry Analysis and Forecast,cmems_mod_glo_bgc-car_anfc_0.25deg_P1D-m,daily mean fields from Global Ocean Biogeochemistry Analysis and Forecast,talk,sea_water_alkalinity_expressed_as_mole_equivalent,mol m-3,sur,no,0,1
GLOBAL_ANALYSISFORECAST_BGC_001_028,Global Ocean Biogeochemistry Analysis and Forecast,cmems_mod_glo_bgc-car_anfc_0.25deg_P1M-m,Monthly mean fields for product GLOBAL_ANALYSIS_FORECAST_BIO_001_028,dissic,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,mol m-3,sur,no,0,1
GLOBAL_ANALYSISFORECAST_BGC_001_028,Global Ocean Biogeochemistry Analysis and Forecast,cmems_mod_glo_bgc-car_anfc_0.25deg_P1M-m,Monthly mean fields for product GLOBAL_ANALYSIS_FORECAST_BIO_001_028,ph,sea_water_ph_reported_on_total_scale,1,sur,no,0,1
GLOBAL_ANALYSISFORECAST_BGC_001_028,Global Ocean Biogeochemistry Analysis and Forecast,cmems_mod_glo_bgc-car_anfc_0.25deg_P1M-m,Monthly mean fields for product GLOBAL_ANALYSIS_FORECAST_BIO_001_028,talk,sea_water_alkalinity_expressed_as_mole_equivalent,mol m-3,sur,no,0,1
GLOBAL_ANALYSISFORECAST_BGC_001_028,Global Ocean Biogeochemistry Analysis and Forecast,cmems_mod_glo_bgc-co2_anfc_0.25deg_P1D-m,daily mean fields from Global Ocean Biogeochemistry Analysis and Forecast,spco2,surface_partial_pressure_of_carbon_dioxide_in_sea_water,Pa,sur,no,0,1
GLOBAL_ANALYSISFORECAST_BGC_001_028,Global Ocean Biogeochemistry Analysis and Forecast,cmems_mod_glo_bgc-co2_anfc_0.25deg_P1M-m,Monthly mean fields for product GLOBAL_ANALYSIS_FORECAST_BIO_001_028,spco2,surface_partial_pressure_of_carbon_dioxide_in_sea_water,Pa,sur,no,0,1
